airline,country,n_flights_in,n_passengers_in,n_seats_in,n_flights_out,n_passengers_out,year,month
Jetstar,USA,22,6765,7370,22,6656,2023,9
Jetstar,Vietnam,26,7219,8710,26,6831,2023,9
Kalitta Air,Hong Kong (SAR),5,NA,NA,13,NA,2023,9
Kalitta Air,Singapore,NA,NA,NA,17,NA,2023,9
Kalitta Air,USA,26,NA,NA,NA,NA,2023,9
Korean Air,Korea,51,12183,13551,51,11776,2023,9
LATAM Airlines,Chile,41,8374,11105,42,7967,2023,9
Malaysia Airlines,Malaysia,200,45691,53325,200,42643,2023,9
Malindo Air,Malaysia,162,20395,28827,163,22354,2023,9
Malindo Air,New Zealand,25,2207,4050,25,2127,2023,9
Nauru Airlines,Nauru,18,1035,1792,17,779,2023,9
Philippine Airlines,Philippines,87,15599,21967,87,15749,2023,9
Qantas Airways,Canada,13,2634,3068,13,2636,2023,9
Qantas Airways,China,NA,NA,NA,5,NA,2023,9
Qantas Airways,Chile,17,3647,3669,17,3620,2023,9
Qantas Airways,East Timor,30,1510,2910,30,1274,2023,9
Qantas Airways,Fiji,21,3250,3587,21,3427,2023,9
Qantas Airways,Hong Kong (SAR),58,11952,13589,58,10770,2023,9
Qantas Airways,India,31,6791,7525,31,6282,2023,9
Qantas Airways,Indonesia,102,18899,20592,103,15795,2023,9
Qantas Airways,Italy,12,2590,2818,13,2898,2023,9
Qantas Airways,Japan,60,14412,17635,60,16339,2023,9
Qantas Airways,Korea,14,3327,3861,13,3473,2023,9
Qantas Airways,New Caledonia,22,2467,3828,22,2366,2023,9
Qantas Airways,New Zealand,605,82642,103588,604,85680,2023,9
Qantas Airways,Papua New Guinea,25,3363,4284,25,3252,2023,9
Qantas Airways,Philippines,30,7790,8102,30,7462,2023,9
Qantas Airways,Singapore,133,32398,36163,134,30628,2023,9
Qantas Airways,South Africa,30,6808,7069,30,6308,2023,9
Qantas Airways,Thailand,30,8202,8863,34,7289,2023,9
Qantas Airways,Tonga,9,1122,1359,9,979,2023,9
Qantas Airways,UK,60,20295,21565,60,19525,2023,9
Qantas Airways,USA,197,40278,50606,189,43164,2023,9
Qantas Airways,Western Somoa,13,1789,2009,13,1918,2023,9
Qatar Airways,New Zealand,1,256,354,NA,NA,2023,9
Qatar Airways,Qatar,188,67861,71087,189,66903,2023,9
Royal Brunei Airlines,Brunei,22,3160,5588,22,2923,2023,9
Scoot Tigerair,Singapore,139,47500,50074,139,47026,2023,9
Sichuan Airlines,China,17,4047,5185,17,3983,2023,9
Singapore Airlines,New Zealand,8,NA,NA,9,NA,2023,9
Singapore Airlines,Singapore,534,143705,154319,533,139232,2023,9
Solomon Airlines,Solomon Islands,17,1831,2312,17,1854,2023,9
SriLankan Airlines,Sri Lanka,44,12693,13038,44,11947,2023,9
Tasman Cargo Airlines,New Zealand,47,NA,NA,45,NA,2023,9
Tasman Cargo Airlines,Singapore,17,NA,NA,18,NA,2023,9
Thai AirAsia X,Thailand,18,4280,6606,18,3474,2023,9
Thai Airways International,Thailand,90,28291,29700,90,25537,2023,9
Tianjin Airlines,China,9,1888,2340,9,1752,2023,9
T'way Air,Korea,13,4169,4511,13,4040,2023,9
United Airlines,USA,115,21901,32345,114,23673,2023,9
United Parcel Service,China,NA,NA,NA,8,NA,2023,9
United Parcel Service,Korea,NA,NA,NA,11,NA,2023,9
United Parcel Service,Singapore,NA,NA,NA,5,NA,2023,9
United Parcel Service,USA,26,NA,NA,NA,NA,2023,9
Vietjet Air,Vietnam,39,13076,14703,39,12344,2023,9
Vietnam Airlines,Vietnam,81,19664,24674,81,20967,2023,9
Virgin Australia,Fiji,96,13611,16848,97,13920,2023,9
Virgin Australia,Indonesia,165,25706,29040,164,24391,2023,9
Virgin Australia,Japan,28,2742,4928,28,3315,2023,9
Virgin Australia,New Zealand,90,13638,15840,90,13467,2023,9
Virgin Australia,Vanuatu,21,3368,3696,21,3351,2023,9
Virgin Australia,Western Samoa,17,2152,2992,17,2200,2023,9
Xiamen Airlines,China,60,15553,17130,60,15209,2023,9
Air Caledonie International,New Caledonia,30,4527,5881,30,4113,2023,10
Air Canada,Canada,62,18062,19046,62,13759,2023,10
Air Chathams,New Zealand,4,89,227,4,90,2023,10
Air China,China,33,8615,10338,33,7068,2023,10
Air India,India,62,14134,15872,62,13560,2023,10
Air Mauritius,Mauritius,9,2765,2765,9,2265,2023,10
Air New Zealand,New Zealand,630,115873,135783,628,121316,2023,10
Air Niugini,Papua New Guinea,74,6397,10560,75,5805,2023,10
Air Vanuatu,Vanuatu,43,3928,7568,43,3670,2023,10
AirAsia X,Malaysia,104,31324,39208,105,20809,2023,10
AirAsia X,New Zealand,31,7420,11687,31,9940,2023,10
All Nippon Airways,Japan,63,11630,15498,63,10145,2023,10
American Airlines,USA,30,8553,9120,30,6517,2023,10
Asiana Airlines,Korea,40,13680,15644,40,12066,2023,10
Bamboo Airways,Vietnam,20,4481,5880,20,3386,2023,10
Batik Air Indonesia,Indonesia,100,11953,15828,101,8231,2023,10
Beijing Capital Airlines,China,15,2864,3646,15,1943,2023,10
British Airways,UK,31,6488,6696,31,4166,2023,10
Cathay Pacific Airways,Hong Kong (SAR),195,55713,58758,191,49732,2023,10
Cebu Pacific Air,Philippines,32,9426,14688,32,6561,2023,10
China Airlines,New Zealand,23,4845,7038,23,5888,2023,10
China Airlines,Taiwan,65,17513,19890,65,14650,2023,10
China Eastern Airlines,China,122,27848,33861,122,21069,2023,10
China Southern Airlines,China,137,34993,40348,137,31289,2023,10
Citilink Indonesia,Indonesia,33,2710,5940,33,2807,2023,10
Delta Air Lines,USA,32,8826,9632,32,6531,2023,10
Emirates,New Zealand,30,7491,14520,30,8508,2023,10
Emirates,United Arab Emirates,292,121828,124234,293,70929,2023,10
Etihad Airways,United Arab Emirates,62,20243,20451,62,14694,2023,10
Eva Air,Taiwan,13,4141,4446,13,3626,2023,10
Federal Express Corporation,China,NA,NA,NA,37,NA,2023,10
Federal Express Corporation,Hong Kong (SAR),NA,NA,NA,5,NA,2023,10
Federal Express Corporation,Singapore,22,NA,NA,NA,NA,2023,10
Federal Express Corporation,USA,26,NA,NA,NA,NA,2023,10
Fiji Airways,Fiji,165,28592,34267,165,26631,2023,10
Garuda Indonesia,Indonesia,62,12330,16008,62,9584,2023,10
Hainan Airlines,China,18,3407,4653,18,3559,2023,10
Hawaiian Airlines,USA,22,5216,6094,22,5645,2023,10
Indonesia AirAsia,Indonesia,112,18963,20160,112,15112,2023,10
Japan Airlines,Japan,48,10246,10730,48,9593,2023,10
Jetstar,Cook Islands,14,2627,3248,14,2681,2023,10
Jetstar,Fiji,25,4382,4742,25,3606,2023,10
Jetstar,Indonesia,337,77484,80606,338,70650,2023,10
Jetstar,Japan,79,23902,26465,80,20419,2023,10
Jetstar,Korea,13,3942,4355,13,3779,2023,10
Jetstar,New Zealand,238,36460,44196,242,37774,2023,10
Jetstar,Singapore,26,7957,8710,27,6868,2023,10
Jetstar,Thailand,41,13144,13735,41,12159,2023,10
Jetstar,USA,22,6727,7370,22,6513,2023,10
Jetstar,Vietnam,23,7105,7705,23,5673,2023,10
Kalitta Air,Hong Kong (SAR),4,NA,NA,19,NA,2023,10
Kalitta Air,Singapore,12,NA,NA,9,NA,2023,10
Kalitta Air,USA,13,NA,NA,NA,NA,2023,10
Korean Air,Korea,54,13928,14456,54,12182,2023,10
LATAM Airlines,Chile,44,8981,11611,43,8748,2023,10
Malaysia Airlines,Malaysia,205,48936,53760,200,38293,2023,10
Malindo Air,Malaysia,168,24851,29745,163,18432,2023,10
Malindo Air,New Zealand,22,1712,3564,22,2236,2023,10
Nauru Airlines,Nauru,17,696,1664,17,849,2023,10
Philippine Airlines,Philippines,92,20078,23497,92,16840,2023,10
Qantas Airways,Canada,13,2868,3068,13,2369,2023,10
Qantas Airways,Chile,18,3944,3965,18,3961,2023,10
Qantas Airways,China,3,458,799,6,370,2023,10
Qantas Airways,East Timor,31,1506,3007,31,1178,2023,10
Qantas Airways,Fiji,21,3331,3591,21,2924,2023,10
Qantas Airways,Hong Kong (SAR),61,13596,14649,61,11792,2023,10
Qantas Airways,India,31,6922,7557,31,6254,2023,10
Qantas Airways,Indonesia,104,19860,21483,104,15237,2023,10
Qantas Airways,Italy,2,457,471,1,199,2023,10
Qantas Airways,Japan,62,17135,18369,62,15353,2023,10
Qantas Airways,Korea,14,3908,4111,14,3581,2023,10
Qantas Airways,New Caledonia,22,3178,3828,22,2665,2023,10
Qantas Airways,New Zealand,620,86911,106209,623,95400,2023,10
Qantas Airways,Papua New Guinea,27,3462,4694,27,3278,2023,10
Qantas Airways,Philippines,31,8246,8389,31,7209,2023,10
Qantas Airways,Singapore,135,34260,35966,134,26107,2023,10
Qantas Airways,Solomon Islands,2,59,188,2,112,2023,10
Qantas Airways,South Africa,31,7050,7294,31,6394,2023,10
Qantas Airways,Thailand,31,8881,9115,35,7265,2023,10
Qantas Airways,Tonga,8,833,1208,8,759,2023,10
Qantas Airways,UK,61,21719,22074,61,16729,2023,10
Qantas Airways,USA,202,44252,51965,194,42048,2023,10
Qantas Airways,Western Somoa,13,1606,2010,12,1386,2023,10
Qatar Airways,Qatar,194,69313,73962,194,54222,2023,10
Royal Brunei Airlines,Brunei,21,3106,5334,22,1637,2023,10
Scoot Tigerair,Singapore,142,48595,50848,142,43350,2023,10
Sichuan Airlines,China,23,5861,7015,23,4573,2023,10
Singapore Airlines,New Zealand,7,NA,NA,7,NA,2023,10
Singapore Airlines,Singapore,534,154748,159491,544,140688,2023,10
Singapore Airlines,USA,13,NA,NA,NA,NA,2023,10
Solomon Airlines,Solomon Islands,19,1921,2584,17,1684,2023,10
SriLankan Airlines,Sri Lanka,44,12594,13037,44,11190,2023,10
Tasman Cargo Airlines,New Zealand,51,NA,NA,50,NA,2023,10
Tasman Cargo Airlines,Singapore,20,NA,NA,22,NA,2023,10
Thai AirAsia X,Thailand,17,4940,6239,17,2257,2023,10
Thai Airways International,Thailand,93,28108,30690,92,20872,2023,10
Tianjin Airlines,China,8,1621,2424,8,1212,2023,10
T'way Air,Korea,13,4074,4511,13,3696,2023,10
United Airlines,USA,126,26327,35916,124,20459,2023,10
United Parcel Service,China,NA,NA,NA,6,NA,2023,10
United Parcel Service,Korea,NA,NA,NA,13,NA,2023,10
United Parcel Service,Singapore,NA,NA,NA,4,NA,2023,10
United Parcel Service,USA,26,NA,NA,2,NA,2023,10
Vietjet Air,Vietnam,45,14867,16965,45,11374,2023,10
Vietnam Airlines,Vietnam,85,23283,25925,84,18774,2023,10
Virgin Australia,Fiji,78,11897,13728,78,11242,2023,10
Virgin Australia,Indonesia,171,28964,30096,170,22698,2023,10
Virgin Australia,Japan,30,3764,5280,30,3414,2023,10
Virgin Australia,New Zealand,82,11104,14432,84,11265,2023,10
Virgin Australia,Vanuatu,21,3164,3696,21,3021,2023,10
Virgin Australia,Western Samoa,18,2060,3168,18,1914,2023,10
Xiamen Airlines,China,60,16099,17131,61,13492,2023,10
Air Caledonie International,New Caledonia,30,4091,5763,29,4017,2023,11
Air Canada,Canada,52,14820,17800,52,14362,2023,11
Air Chathams,New Zealand,5,121,295,5,151,2023,11
Air China,China,47,9460,14334,47,10138,2023,11
Air India,India,60,11132,15360,60,12930,2023,11
Air Mauritius,Mauritius,9,2643,2643,9,2261,2023,11
Air New Zealand,New Zealand,646,117760,141367,647,122234,2023,11
Air Niugini,Papua New Guinea,70,5116,10251,69,5243,2023,11
Air Vanuatu,Vanuatu,42,4078,7392,43,3495,2023,11
AirAsia X,Malaysia,98,25956,36946,97,27621,2023,11
AirAsia X,New Zealand,30,7873,11310,30,9922,2023,11
All Nippon Airways,Japan,74,12324,18204,74,13509,2023,11
American Airlines,USA,30,7175,9120,30,6950,2023,11
Asiana Airlines,Korea,38,11965,14946,38,11022,2023,11
Bamboo Airways,Vietnam,2,352,588,2,220,2023,11
Batik Air Indonesia,Indonesia,66,5919,10332,66,6243,2023,11
Beijing Capital Airlines,China,16,1802,3552,16,2546,2023,11
British Airways,UK,30,6135,7620,30,5706,2023,11
Cathay Pacific Airways,Hong Kong (SAR),244,51110,71112,244,56142,2023,11
Cebu Pacific Air,Philippines,34,8062,15606,34,8694,2023,11
China Airlines,New Zealand,25,4164,7650,25,4612,2023,11
China Airlines,Taiwan,71,13230,21716,71,16791,2023,11
China Eastern Airlines,China,167,27997,45302,167,30434,2023,11
China Southern Airlines,China,148,30998,42362,148,35882,2023,11
Citilink Indonesia,Indonesia,35,1787,6300,35,2215,2023,11
Delta Air Lines,USA,42,8700,12642,42,8104,2023,11
Emirates,New Zealand,30,7171,14520,30,9229,2023,11
Emirates,United Arab Emirates,281,93333,120545,281,78942,2023,11
Etihad Airways,United Arab Emirates,60,16467,20086,60,16142,2023,11
Eva Air,Taiwan,13,3096,4446,13,4169,2023,11
Federal Express Corporation,China,NA,NA,NA,40,NA,2023,11
Federal Express Corporation,Hong Kong (SAR),NA,NA,NA,4,NA,2023,11
Federal Express Corporation,Singapore,22,NA,NA,NA,NA,2023,11
Federal Express Corporation,USA,26,NA,NA,NA,NA,2023,11
Fiji Airways,Fiji,149,26489,32318,149,25608,2023,11
Garuda Indonesia,Indonesia,57,8088,15603,57,9442,2023,11
Hainan Airlines,China,21,3022,6319,21,4992,2023,11
Hawaiian Airlines,USA,21,4311,5817,21,4519,2023,11
Indonesia AirAsia,Indonesia,109,15847,19620,109,14980,2023,11
Japan Airlines,Japan,43,7915,8312,43,7586,2023,11
Jetstar,Cook Islands,12,2100,2784,12,1825,2023,11
Jetstar,Fiji,16,3117,3712,16,2957,2023,11
Jetstar,Indonesia,322,70439,75889,321,69322,2023,11
Jetstar,Japan,74,21402,24790,73,21655,2023,11
Jetstar,Korea,13,3884,4355,13,3977,2023,11
Jetstar,New Zealand,233,38062,43332,234,39663,2023,11
Jetstar,Singapore,16,4564,5360,15,4432,2023,11
Jetstar,Thailand,38,11756,12730,38,11986,2023,11
Jetstar,USA,21,6263,7035,22,6227,2023,11
Jetstar,Vietnam,22,5800,7370,22,6393,2023,11
Kalitta Air,Hong Kong (SAR),4,NA,NA,12,NA,2023,11
Kalitta Air,Singapore,17,NA,NA,13,NA,2023,11
Kalitta Air,USA,4,NA,NA,NA,NA,2023,11
Korean Air,Korea,56,14474,16708,56,14903,2023,11
LATAM Airlines,Chile,43,7278,10658,43,8010,2023,11
Malaysia Airlines,Malaysia,206,44919,55583,204,48443,2023,11
Malaysia Airlines,Philippines,NA,NA,NA,1,NA,2023,11
Malindo Air,Malaysia,149,18806,26298,150,20585,2023,11
Malindo Air,New Zealand,17,1774,2754,17,2103,2023,11
Nauru Airlines,Nauru,18,745,1536,20,761,2023,11
Philippine Airlines,Philippines,84,16484,21754,84,16407,2023,11
Qantas Airways,Canada,13,2443,3067,13,2443,2023,11
Qantas Airways,Chile,17,3685,3757,17,3750,2023,11
Qantas Airways,China,20,2530,5394,32,3612,2023,11
Qantas Airways,East Timor,30,1204,2910,30,1322,2023,11
Qantas Airways,Fiji,16,2635,2783,16,2542,2023,11
Qantas Airways,Hong Kong (SAR),72,14745,21099,72,15458,2023,11
Qantas Airways,India,34,7651,8366,34,7726,2023,11
Qantas Airways,Indonesia,93,18352,22292,94,17061,2023,11
Qantas Airways,Japan,70,17211,20193,70,18199,2023,11
Qantas Airways,Korea,17,4157,4819,17,4325,2023,11
Qantas Airways,New Caledonia,21,2896,3649,21,2894,2023,11
Qantas Airways,New Zealand,650,91359,109202,651,95238,2023,11
Qantas Airways,Papua New Guinea,30,3779,5220,30,3603,2023,11
Qantas Airways,Philippines,30,8051,8482,30,8085,2023,11
Qantas Airways,Singapore,150,35500,40306,149,34099,2023,11
Qantas Airways,Solomon Islands,13,615,1225,13,937,2023,11
Qantas Airways,South Africa,29,6407,6826,29,5868,2023,11
Qantas Airways,Thailand,30,8290,8864,33,8473,2023,11
Qantas Airways,Tonga,4,529,590,4,569,2023,11
Qantas Airways,UK,60,19974,21571,60,17444,2023,11
Qantas Airways,USA,202,39500,53544,185,38112,2023,11
Qantas Airways,Western Somoa,13,1500,2002,13,1731,2023,11
Qatar Airways,Qatar,188,61606,73500,188,58662,2023,11
Royal Brunei Airlines,Brunei,21,2380,5334,21,2451,2023,11
Scoot Tigerair,Singapore,146,49738,54036,146,50388,2023,11
Sichuan Airlines,China,35,6183,10891,35,9048,2023,11
Singapore Airlines,New Zealand,9,NA,NA,8,NA,2023,11
Singapore Airlines,Singapore,530,143987,156848,547,147947,2023,11
Singapore Airlines,USA,17,NA,NA,NA,NA,2023,11
Solomon Airlines,Solomon Islands,21,1522,2856,21,2078,2023,11
SriLankan Airlines,Sri Lanka,42,12019,12444,42,11372,2023,11
Tasman Cargo Airlines,New Zealand,48,NA,NA,48,NA,2023,11
Tasman Cargo Airlines,Singapore,22,NA,NA,21,NA,2023,11
Thai AirAsia X,Thailand,15,3082,5505,15,3497,2023,11
Thai Airways International,Thailand,90,23263,29700,90,27733,2023,11
Tianjin Airlines,China,7,919,2121,7,1444,2023,11
T'way Air,Korea,17,4706,5899,17,5160,2023,11
United Airlines,USA,190,27209,57107,185,27216,2023,11
United Parcel Service,China,NA,NA,NA,8,NA,2023,11
United Parcel Service,Korea,NA,NA,NA,14,NA,2023,11
United Parcel Service,Singapore,NA,NA,NA,4,NA,2023,11
United Parcel Service,USA,26,NA,NA,NA,NA,2023,11
Vietjet Air,Vietnam,47,12704,17719,47,14666,2023,11
Vietnam Airlines,Vietnam,86,19579,26230,86,22770,2023,11
Virgin Australia,Fiji,69,10844,12144,69,10845,2023,11
Virgin Australia,Indonesia,144,22005,25344,144,19799,2023,11
Virgin Australia,Japan,29,3388,5104,29,3560,2023,11
Virgin Australia,New Zealand,76,10728,13376,77,11981,2023,11
Virgin Australia,Vanuatu,12,1750,2112,12,1796,2023,11
Virgin Australia,Western Samoa,17,1512,2992,17,1683,2023,11
Xiamen Airlines,China,60,12810,16330,59,14521,2023,11
Air Caledonie International,New Caledonia,43,5781,7517,43,5386,2023,12
Air Canada,Canada,75,19778,25842,74,21268,2023,12
Air Chathams,New Zealand,5,199,295,5,138,2023,12
Air China,China,53,13717,19016,53,15371,2023,12
Air India,India,69,14976,17664,69,16790,2023,12
Air Mauritius,Mauritius,12,3274,3456,12,3382,2023,12
Air New Zealand,New Zealand,724,122986,156542,721,130217,2023,12
Air Niugini,Papua New Guinea,78,7803,11085,79,7387,2023,12
Air Vanuatu,Vanuatu,46,3503,8096,46,4831,2023,12
AirAsia X,Malaysia,144,26790,54288,144,46560,2023,12
AirAsia X,New Zealand,31,8606,11687,31,10739,2023,12
All Nippon Airways,Japan,76,11460,18696,76,16198,2023,12
American Airlines,USA,31,7265,9424,31,7838,2023,12
Asiana Airlines,Korea,41,12704,16615,41,14867,2023,12
Batik Air Indonesia,Indonesia,109,8380,17292,107,13872,2023,12
Beijing Capital Airlines,China,26,2760,6908,26,5774,2023,12
British Airways,UK,31,6353,7874,31,7115,2023,12
Cathay Pacific Airways,Hong Kong (SAR),247,53979,73918,247,68409,2023,12
Cebu Pacific Air,Philippines,35,9099,15858,35,13034,2023,12
China Airlines,New Zealand,27,5639,8262,27,5923,2023,12
China Airlines,Taiwan,89,16196,27209,89,23453,2023,12
China Eastern Airlines,China,200,31105,53240,200,41720,2023,12
China Eastern Airlines,New Zealand,9,869,2106,9,1308,2023,12
China Southern Airlines,China,224,44688,66804,224,61293,2023,12
Citilink Indonesia,Indonesia,42,1630,7560,42,4486,2023,12
Delta Air Lines,USA,53,11713,15953,53,11455,2023,12
Emirates,New Zealand,30,7977,14520,30,9605,2023,12
Emirates,United Arab Emirates,291,96154,128570,290,110297,2023,12
Etihad Airways,United Arab Emirates,62,17888,21504,62,20465,2023,12
Eva Air,Taiwan,13,2957,4446,13,4298,2023,12
Federal Express Corporation,China,NA,NA,NA,41,NA,2023,12
Federal Express Corporation,Singapore,22,NA,NA,NA,NA,2023,12
Federal Express Corporation,USA,28,NA,NA,NA,NA,2023,12
Fiji Airways,Fiji,187,31688,38920,187,33085,2023,12
Garuda Indonesia,Indonesia,77,11811,21669,77,19710,2023,12
Hainan Airlines,China,40,3958,11999,40,9362,2023,12
Hawaiian Airlines,USA,23,3873,6371,23,5413,2023,12
Indonesia AirAsia,Indonesia,137,15244,24660,137,18883,2023,12
Japan Airlines,Japan,44,7147,8463,43,8025,2023,12
Jetstar,Cook Islands,14,1953,3248,14,2019,2023,12
Jetstar,Fiji,23,4214,5336,23,4718,2023,12
Jetstar,Indonesia,346,65413,81255,349,76493,2023,12
Jetstar,Japan,85,22947,28475,85,26809,2023,12
Jetstar,Korea,14,3770,4690,14,4295,2023,12
Jetstar,New Zealand,287,44250,53292,287,47816,2023,12
Jetstar,Singapore,25,6605,8375,24,7270,2023,12
Jetstar,Thailand,44,12354,14740,44,13602,2023,12
Jetstar,USA,23,6926,7705,22,6654,2023,12
Jetstar,Vietnam,29,6805,9715,29,9100,2023,12
Kalitta Air,Hong Kong (SAR),5,NA,NA,10,NA,2023,12
Kalitta Air,Singapore,16,NA,NA,11,NA,2023,12
Kalitta Air,USA,1,NA,NA,NA,NA,2023,12
Korean Air,Korea,62,15446,18166,62,17315,2023,12
LATAM Airlines,Chile,44,8367,10737,44,9409,2023,12
Malaysia Airlines,Malaysia,225,44490,60205,223,55263,2023,12
Malindo Air,Malaysia,190,17962,33597,188,28572,2023,12
Malindo Air,New Zealand,25,2658,4050,26,3156,2023,12
Nauru Airlines,Nauru,19,901,1792,18,803,2023,12
Philippine Airlines,Philippines,89,14970,22883,89,16313,2023,12
Qantas Airways,Canada,13,2386,3066,13,2663,2023,12
Qantas Airways,Chile,28,5292,6334,28,5407,2023,12
Qantas Airways,China,22,3612,5981,22,5552,2023,12
Qantas Airways,East Timor,31,1072,3007,31,1498,2023,12
Qantas Airways,Fiji,25,3670,4344,25,4011,2023,12
Qantas Airways,Hong Kong (SAR),71,15546,20892,71,19875,2023,12
Qantas Airways,India,40,9135,10409,40,9697,2023,12
Qantas Airways,Indonesia,99,18411,23727,99,20899,2023,12
Qantas Airways,Japan,122,25449,33701,122,31181,2023,12
Qantas Airways,Korea,17,3525,4614,16,4309,2023,12
Qantas Airways,New Caledonia,23,3314,4003,23,2955,2023,12
Qantas Airways,New Zealand,689,96770,115078,688,102183,2023,12
Qantas Airways,Papua New Guinea,29,3955,5046,29,3412,2023,12
Qantas Airways,Philippines,31,8047,8733,31,8433,2023,12
Qantas Airways,Singapore,147,28710,39601,148,37571,2023,12
Qantas Airways,Solomon Islands,14,906,1343,14,793,2023,12
Qantas Airways,South Africa,27,5882,6366,27,5618,2023,12
Qantas Airways,Thailand,31,7616,8694,31,8248,2023,12
Qantas Airways,Tonga,7,938,1090,7,1033,2023,12
Qantas Airways,UK,63,18590,22783,63,19901,2023,12
Qantas Airways,USA,213,40013,57282,214,44775,2023,12
Qantas Airways,Western Somoa,13,1395,2056,13,2164,2023,12
Qatar Airways,Qatar,194,63226,75950,195,67104,2023,12
Royal Brunei Airlines,Brunei,22,2222,5588,23,4509,2023,12
Scoot Tigerair,Singapore,168,53511,61694,167,59590,2023,12
Sichuan Airlines,China,44,7735,13948,44,12631,2023,12
Singapore Airlines,New Zealand,7,NA,NA,7,NA,2023,12
Singapore Airlines,Singapore,646,159796,185523,673,176739,2023,12
Singapore Airlines,USA,30,NA,NA,NA,NA,2023,12
Solomon Airlines,Solomon Islands,21,1751,2856,23,1985,2023,12
SriLankan Airlines,Sri Lanka,45,10575,13334,45,12494,2023,12
Tasman Cargo Airlines,New Zealand,41,NA,NA,41,NA,2023,12
Tasman Cargo Airlines,Singapore,20,NA,NA,21,NA,2023,12
Thai AirAsia X,Thailand,17,2522,6239,17,4647,2023,12
Thai Airways International,Thailand,93,24177,30690,93,29559,2023,12
Tianjin Airlines,China,18,1477,4800,18,3528,2023,12
T'way Air,Korea,18,4954,6246,18,5615,2023,12
United Airlines,USA,231,38704,67928,231,42790,2023,12
United Parcel Service,China,NA,NA,NA,9,NA,2023,12
United Parcel Service,Korea,NA,NA,NA,14,NA,2023,12
United Parcel Service,Singapore,NA,NA,NA,5,NA,2023,12
United Parcel Service,USA,27,NA,NA,NA,NA,2023,12
Vietjet Air,Vietnam,100,23033,34613,100,26961,2023,12
Vietnam Airlines,Vietnam,99,22284,29965,99,26874,2023,12
Virgin Australia,Fiji,98,12197,17248,98,15030,2023,12
Virgin Australia,Indonesia,174,19532,30624,182,28459,2023,12
Virgin Australia,Japan,25,3037,4400,26,3542,2023,12
Virgin Australia,New Zealand,104,12499,18304,105,14581,2023,12
Virgin Australia,Vanuatu,21,2317,3696,21,2747,2023,12
Virgin Australia,Western Samoa,20,1452,3520,21,3018,2023,12
Xiamen Airlines,China,62,13235,16651,62,15892,2023,12
Air Caledonie International,New Caledonia,49,6896,8176,48,5894,2024,1
Air Canada,Canada,69,21026,23886,69,19041,2024,1
Air Chathams,New Zealand,4,110,272,4,179,2024,1
Air China,China,53,17794,19016,53,13069,2024,1
Air India,India,75,17005,19200,74,17620,2024,1
Air Mauritius,Mauritius,14,3759,4032,14,3271,2024,1
Air New Zealand,New Zealand,745,142004,162390,744,136387,2024,1
Air Niugini,Papua New Guinea,82,6411,10611,81,6454,2024,1
Air Vanuatu,Vanuatu,40,4548,7040,42,3342,2024,1
AirAsia X,Malaysia,146,49247,55042,147,29951,2024,1
AirAsia X,New Zealand,31,9454,11687,31,10427,2024,1
All Nippon Airways,Japan,75,15043,18450,75,13691,2024,1
American Airlines,USA,29,7822,8816,29,6454,2024,1
Asiana Airlines,Korea,40,16559,18144,40,13037,2024,1
Batik Air Indonesia,Indonesia,107,14074,16962,110,11016,2024,1
Beijing Capital Airlines,China,26,6004,7336,26,2418,2024,1
British Airways,UK,31,7530,7874,31,6348,2024,1
Cathay Pacific Airways,Hong Kong (SAR),268,74069,80378,269,57883,2024,1
Cebu Pacific Air,Philippines,40,15420,18360,39,11000,2024,1
China Airlines,New Zealand,26,5314,7956,26,5453,2024,1
China Airlines,Taiwan,92,26016,28147,91,18228,2024,1
China Eastern Airlines,China,212,46623,56238,212,26964,2024,1
China Eastern Airlines,New Zealand,9,1507,2106,9,1556,2024,1
China Southern Airlines,China,230,64475,69502,230,42438,2024,1
Citilink Indonesia,Indonesia,41,5573,7380,41,2720,2024,1
Delta Air Lines,USA,61,13389,18361,61,11585,2024,1
Emirates,New Zealand,31,10301,15004,31,9403,2024,1
Emirates,United Arab Emirates,290,122241,128731,290,87836,2024,1
Etihad Airways,United Arab Emirates,62,20239,20902,62,18397,2024,1
Eva Air,Taiwan,13,4255,4446,13,3147,2024,1
Federal Express Corporation,China,NA,NA,NA,40,NA,2024,1
Federal Express Corporation,Singapore,22,NA,NA,NA,NA,2024,1
Federal Express Corporation,USA,26,NA,NA,NA,NA,2024,1
Fiji Airways,Fiji,179,32503,37557,179,27489,2024,1
Garuda Indonesia,Indonesia,77,19140,21681,77,13405,2024,1
Hainan Airlines,China,53,12026,15586,53,5715,2024,1
Hawaiian Airlines,USA,26,6453,7202,26,5286,2024,1
Indonesia AirAsia,Indonesia,136,22739,24480,137,15457,2024,1
Japan Airlines,Japan,45,8031,8729,45,7549,2024,1
Jetstar,Cook Islands,13,2473,3016,13,1728,2024,1
Jetstar,Fiji,26,5221,6032,26,4495,2024,1
Jetstar,Indonesia,361,81536,84942,360,67916,2024,1
Jetstar,Japan,93,28579,31155,93,25440,2024,1
Jetstar,Korea,13,4030,4355,13,3584,2024,1
Jetstar,New Zealand,292,47757,54222,294,47007,2024,1
Jetstar,Singapore,27,8352,9045,27,7642,2024,1
Jetstar,Thailand,43,13763,14405,43,12732,2024,1
Jetstar,USA,22,6924,7370,22,5875,2024,1
Jetstar,Vietnam,31,9860,10385,31,7885,2024,1
